Date,Germany,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2003-09-28,839,,,,,,,,,,876,,,,,,
2003-10-05,1040,1207,1306,,,,,1246,,,995,,,,,,
2003-10-12,1171,1407,1432,,,,,1293,,946,1248,,,,,,
2003-10-19,1310,1579,1562,1013,,,972,1238,,1126,1488,1329,,838,,,
2003-10-26,1210,1429,1431,1013,,,1085,1289,,1061,1332,1334,,946,,,
2003-11-02,1055,1214,1112,1087,,,1152,1136,,1038,1097,1271,,870,,,
2003-11-09,1103,1241,1284,1034,,,1138,1233,,1150,1048,1222,,874,,1013,
2003-11-16,1142,1230,1326,1024,,,1074,1150,,1119,1123,1262,,881,,1109,
2003-11-23,991,1199,970,959,,,1132,1220,,1051,942,1303,,866,,1095,
2003-11-30,1071,1083,1108,924,939,,1134,1153,,1117,1186,1484,,977,,1031,
2003-12-07,1287,1345,1398,1108,912,,1163,1281,,1198,1394,1386,,1048,,1074,
2003-12-14,1214,1407,1296,1124,930,,1254,1163,,1284,1282,1369,,1230,,1068,
2003-12-21,950,1144,1153,1035,912,,1239,1143,,1183,1019,1257,,1060,,1091,
2003-12-28,1124,1295,1387,989,886,,1213,1203,,1120,1172,1191,,1058,,1065,
2004-01-04,1291,1284,1277,909,880,,1197,1321,,1310,1277,1237,,1104,,1123,
2004-01-11,1190,1196,1243,1005,879,,1243,1268,,1430,1100,1203,,1227,,1177,
2004-01-18,1135,1245,1114,975,852,,1193,1398,,1398,1061,1183,,1093,,1115,
2004-01-25,1190,1337,1372,970,806,,1125,1270,,1228,1146,1144,,1105,,1088,
2004-02-01,1196,1258,1190,1044,841,,1177,1293,,1143,1286,1118,,1128,,1078,
2004-02-08,1145,1287,1319,954,873,,1248,1221,,1058,1204,1083,,1085,,1020,
2004-02-15,1194,1133,1338,970,885,,1140,1285,,1076,1284,1131,,1028,,1061,
2004-02-22,1308,1528,1560,1078,921,,1062,1555,,1191,1396,1186,,1019,,1176,
2004-02-29,1257,1203,1326,1090,992,,1070,1359,,1283,1384,1227,,1074,,1164,
2004-03-07,1280,1232,1299,1173,1120,,1154,1405,,1294,1476,1246,,1001,,1233,
2004-03-14,1047,1049,1058,1157,1142,,1194,1089,,1210,1143,1179,,933,,1321,
2004-03-21,938,919,967,941,1062,,1190,1041,,991,1024,1068,,849,,1209,
2004-03-28,771,938,770,815,983,,1055,826,,882,836,954,,789,,1095,
2004-04-04,739,819,816,740,884,,986,689,,813,776,945,,729,,1014,
2004-04-11,695,737,794,771,850,,798,641,,696,706,863,,645,,951,
2004-04-18,712,869,756,726,749,,730,697,,624,630,808,,607,,866,
2004-04-25,542,682,623,714,674,,697,565,,609,509,763,,590,,824,
2004-05-02,563,577,553,655,604,,622,510,,588,584,749,,578,,783,
2004-05-09,558,656,560,568,553,,553,599,,518,554,680,,522,,726,
2004-05-16,556,639,585,566,527,,503,626,,531,508,623,,521,,674,
2004-05-23,606,649,643,511,496,,472,610,,539,665,625,,509,,629,
2004-05-30,544,631,667,501,501,,462,555,,541,576,598,,499,,603,
2004-06-06,429,553,547,494,462,,433,484,,507,436,567,,457,,585,
2004-06-13,471,571,465,462,433,,453,450,,453,481,543,,457,,573,
2004-06-20,470,527,454,436,432,,456,421,,450,505,526,,469,,553,
2004-06-27,425,469,433,439,411,,451,453,,406,437,527,,454,,541,
2004-07-04,448,437,449,410,406,,465,464,,399,496,549,,437,,536,
2004-07-11,485,454,453,392,421,,507,484,,416,510,510,,433,,517,
2004-07-18,423,507,450,365,419,,511,453,,387,464,475,,420,,491,
2004-07-25,439,481,474,388,400,,501,431,,422,430,486,,408,,481,
2004-08-01,347,456,437,376,381,,488,381,,390,374,491,,389,,463,
2004-08-08,318,401,369,364,374,,419,349,,357,399,470,,365,,439,
2004-08-15,364,378,337,348,361,,397,351,,312,409,461,,351,,427,
2004-08-22,396,380,418,362,365,,377,327,,309,414,436,,329,,420,
2004-08-29,406,438,432,355,372,,394,372,,301,400,437,,326,,438,
2004-09-05,436,399,453,344,362,,402,420,,336,436,421,,324,,431,
2004-09-12,497,461,465,387,360,,503,484,,436,526,410,,319,,437,
2004-09-19,681,693,579,482,363,,560,756,,528,689,440,,350,,433,335
2004-09-26,858,868,1020,609,365,,623,787,,710,869,501,,451,,424,364
2004-10-03,1030,1056,1025,747,425,,782,1100,,864,1121,688,,622,418,466,416
2004-10-10,1327,1292,1329,884,584,,998,1522,,1145,1338,1177,,940,477,540,446
2004-10-17,1253,1562,1392,1002,711,492,1110,1452,,1140,1302,1389,,929,532,687,571
2004-10-24,1011,1114,1027,1009,822,536,1049,1132,,869,1057,1305,,873,591,815,730
2004-10-31,944,953,1117,888,884,610,946,1044,,898,935,1122,,764,656,903,816
2004-11-07,1118,1277,1139,1015,939,728,1054,1133,,1157,1178,1010,,741,811,968,859
2004-11-14,1162,1309,1225,1203,978,885,1129,1307,,1103,1215,1054,766,761,870,978,951
2004-11-21,1048,1041,1013,1064,1063,936,1153,1098,,973,1110,1043,875,924,898,966,982
2004-11-28,1028,1118,1012,1089,980,933,1021,1114,,1023,1033,938,1067,921,913,998,1041
2004-12-05,1056,1161,1044,1015,868,897,1011,1200,,902,1138,1018,1118,1007,901,942,1049
2004-12-12,1133,1211,1105,945,870,933,1026,1282,,1161,1226,1019,1145,977,858,961,1103
2004-12-19,1132,1227,1192,986,839,967,1017,1117,,1123,1224,1019,1149,1002,887,1013,1088
2004-12-26,1288,1418,1339,1028,1057,1022,1148,1122,,1078,1322,1164,1226,1106,950,1060,1206
2005-01-02,1253,1166,1312,1271,1083,1035,1293,1195,,1218,1379,1136,1286,1149,917,1123,1270
2005-01-09,1104,1026,1180,1140,1058,1032,1116,1084,,1041,1157,1142,1269,1092,950,1155,1256
2005-01-16,1032,1100,1028,931,1003,1003,1071,1066,,1058,1001,1200,1306,919,1045,1104,1256
2005-01-23,1124,1154,1271,929,1032,970,1111,1046,,1056,1129,1302,1232,956,1122,1149,1174
2005-01-30,1417,1553,1616,1133,1166,913,1118,1579,,1214,1443,1312,1261,1002,1132,1211,1153
2005-02-06,2005,2146,2053,1586,1420,977,1586,2008,,1604,2103,1903,1400,1320,1360,1500,1422
2005-02-13,2469,2438,2428,1859,1825,1086,2040,2483,,1926,2619,2131,1630,1834,1578,2156,1861
2005-02-20,2443,2438,2334,2023,2327,1582,2227,2326,,2198,2572,2245,1823,2178,2082,2386,2286
2005-02-27,2025,2109,2046,1651,2091,1953,2055,2013,,2018,2093,2212,2231,1962,1864,2145,2324
2005-03-06,1799,1587,1854,1840,1752,2016,1887,1703,,1737,1796,1745,2519,1969,1872,2202,2121
2005-03-13,1406,1311,1358,1378,1562,1854,1507,1552,,1444,1338,1483,2401,1746,1702,1854,1857
2005-03-20,988,1042,1029,1080,1381,1619,1257,960,,1000,987,1160,2142,1508,1485,1596,1548
2005-03-27,774,738,828,821,1152,1289,1057,856,,852,700,959,2031,1234,1358,1280,1325
2005-04-03,646,739,708,674,955,1094,816,629,,715,629,792,1859,945,1259,1070,1118
2005-04-10,607,580,643,623,818,963,670,614,,566,624,622,1665,802,1119,955,915
2005-04-17,657,782,596,625,743,862,610,698,,581,678,542,1520,745,1026,824,824
2005-04-24,651,691,662,628,692,764,638,704,,605,644,571,1434,701,930,738,754
2005-05-01,596,597,585,636,652,693,607,635,,568,598,552,1374,665,825,659,686
2005-05-08,711,783,749,597,583,610,660,740,,590,720,630,1282,637,742,617,664
2005-05-15,671,609,734,570,559,585,704,662,,607,653,716,1213,612,692,564,622
2005-05-22,570,565,597,470,543,611,566,625,,583,624,691,1100,559,615,522,581
2005-05-29,522,502,526,436,517,604,520,525,,461,546,675,983,538,586,482,564
2005-06-05,529,472,471,444,505,589,515,539,,498,523,587,880,548,542,460,552
2005-06-12,486,439,444,447,506,561,495,444,,513,549,522,780,531,520,468,527
2005-06-19,415,395,426,435,485,574,466,358,,474,416,471,699,499,502,452,483
2005-06-26,399,340,361,362,467,566,429,367,,469,461,422,648,447,469,433,473
2005-07-03,400,374,362,358,463,544,428,339,,443,439,417,616,419,454,448,463
2005-07-10,407,416,427,325,441,531,404,397,,379,402,402,590,401,438,432,459
2005-07-17,442,404,497,354,417,508,424,464,,454,407,426,572,411,452,421,430
2005-07-24,396,412,457,332,405,489,377,379,,433,393,420,570,415,434,428,418
2005-07-31,497,509,556,360,392,477,395,426,,410,476,449,546,453,415,429,390
2005-08-07,505,543,641,385,385,455,439,462,,454,466,480,538,440,406,421,373
2005-08-14,503,572,556,421,393,455,465,465,,493,476,470,520,424,395,416,386
2005-08-21,536,524,545,485,388,449,619,486,397,515,488,465,517,401,367,452,372
2005-08-28,536,500,511,451,384,461,665,516,392,523,573,469,546,399,375,510,371
2005-09-04,538,491,461,436,375,451,675,499,385,497,634,505,573,402,372,515,361
2005-09-11,587,597,549,501,382,453,716,502,383,497,633,568,565,415,379,545,372
2005-09-18,787,790,714,582,381,522,824,789,376,656,845,711,643,465,378,568,399
2005-09-25,916,892,909,681,409,559,853,854,380,921,930,914,691,584,411,558,404
2005-10-02,1019,1084,1099,787,489,601,945,1098,394,878,987,1078,864,734,434,612,464
2005-10-09,1075,1154,1358,988,552,698,885,1156,429,773,928,1135,986,939,494,715,568
2005-10-16,1169,1327,1351,1150,596,788,901,1239,522,1040,1059,1419,1169,987,569,845,633
2005-10-23,1082,1133,1265,859,758,869,940,1160,553,982,1005,1246,1250,902,682,948,811
2005-10-30,979,1026,1080,972,783,892,1053,1020,607,798,909,1130,1218,827,808,1033,889
2005-11-06,1086,1140,1165,893,876,890,954,1101,664,1064,1051,1109,1225,981,884,1027,898
2005-11-13,1211,1409,1179,1074,876,922,1212,1175,758,1084,1219,1161,1129,1056,917,1051,983
2005-11-20,1243,1251,1144,1188,1030,939,1360,1268,838,1146,1283,1237,1140,1094,942,1067,1065
2005-11-27,1220,1255,1179,1162,978,944,1343,1205,855,1038,1337,1099,1096,1035,961,1150,974
2005-12-04,1228,1239,1310,1104,1055,995,1291,1189,876,1128,1212,1257,1156,1049,898,1367,1105
2005-12-11,1249,1334,1234,1278,1038,1027,1167,1245,933,1189,1289,1362,1199,1058,953,1104,1084
2005-12-18,1193,1223,1217,1237,1092,1041,1089,1272,978,1057,1274,1144,1268,1018,1044,1062,1006
2005-12-25,1212,1302,1283,1102,1091,1062,1041,1264,1009,1138,1163,1204,1353,1036,1005,989,1092
2006-01-01,1289,1266,1384,1129,1110,1140,1363,1268,993,1152,1336,1302,1390,1247,946,1119,1191
2006-01-08,1227,1314,1204,1170,1053,1021,1258,1255,948,884,1351,1179,1379,1124,1143,1319,1215
2006-01-15,1113,1065,1143,1131,1108,1003,1113,1208,926,798,1124,1159,1502,1147,1139,1240,1231
2006-01-22,1129,1133,1142,1154,1061,986,1159,1215,929,954,1148,1226,1390,1019,1145,1141,1125
2006-01-29,1180,1126,1271,1262,1088,918,1171,1220,909,1167,1181,1105,1356,975,1121,1180,1081
2006-02-05,1175,1230,1212,1115,1092,910,933,1196,862,1009,1222,1280,1337,966,1013,1295,1117
2006-02-12,1126,1090,1172,1030,1114,952,991,1226,916,845,1205,1179,1355,1128,932,1191,1138
2006-02-19,1162,1192,1065,1146,1110,960,1157,1142,969,1105,1235,1327,1548,1048,907,1055,1185
